yy;mm;SiteID;spi
1981;03;5705;-0.8661039388415894
1981;03;5707;NA
1981;03;5708;NA
1981;03;5709;NA
1981;03;5710;NA
1981;03;5711;NA
1981;03;5712;NA
1981;03;5713;NA
1981;03;5714;NA
1981;03;5715;NA
1981;03;5716;NA
1981;03;5717;NA
1981;03;5718;NA
1981;03;5720;0.060524017248677876
1981;03;5721;NA
1981;03;5722;NA
1981;03;5723;NA
1981;03;5725;NA
1981;03;5726;NA
1981;03;5727;NA
1981;03;5728;NA
1981;03;5729;NA
1981;03;5732;NA
1981;03;5733;NA
1981;03;5734;NA
1981;03;5735;NA
1981;03;5736;NA
1981;03;5737;NA
1981;03;5738;NA
1981;03;5739;NA
1981;03;5740;NA
1981;03;5741;NA
1981;03;5742;NA
1981;03;5743;NA
1981;03;5744;NA
1981;03;5745;NA
1981;03;5746;NA
1981;03;5747;NA
1981;03;5748;NA
1981;03;5752;NA
1981;03;5753;NA
1981;03;5754;NA
1981;03;5755;-0.5758367587179367
1981;03;5756;NA
1981;03;5758;NA
1981;03;5759;NA
1981;03;5760;NA
1981;03;5761;NA
1981;03;5763;NA
1981;03;5764;NA
1981;03;5766;NA
1981;03;5769;NA
1981;03;5770;NA
1981;03;5771;NA
1981;03;5772;NA
1981;03;5773;NA
1981;03;5774;NA
1981;03;5775;NA
1981;03;5776;NA
1981;03;5777;NA
1981;03;5779;NA
1981;03;5780;NA
1981;03;5781;NA
1981;03;5783;NA
1981;03;5784;NA
1981;03;5786;NA
1981;03;5797;NA
1981;03;5798;NA
1981;03;5799;NA
1981;03;5800;NA
1981;03;5801;NA
1981;04;6718;-0.640170112582963
1981;04;6720;-1.1209477424175025
1981;04;6721;-1.0436944636461654
1981;04;6723;-0.888483450491221
1981;04;6729;-0.31628319472043764
1981;04;6730;-0.002039548796558369
1981;04;6733;-0.2027681409558525
1981;04;6736;-0.031172875482976124
1981;04;6768;-0.9013345067379036
1981;04;6769;-1.044961084976515
1981;04;6771;-0.448489505304904
1981;04;102;0.0809847537849114
1981;04;110;-0.885392354179222
1981;04;135;NA
1981;04;149;-0.3424456689205056
1981;04;150;0.2132461625043818
1981;04;166;NA
1981;04;172;0.06325252427019865
1981;04;176;0.5381577105816808
1981;04;18;0.860945827325252
1981;04;197;0.5987969909628006
1981;04;203;0.47085580177696457
1981;04;206;NA
1981;04;223;-0.3121496422458592
1981;04;49;NA
1981;04;77;0.7236845279443781
1981;04;94;-0.3145813124736595
1981;04;14158;-1.0865984328607987
1981;04;14246;-0.013351750360574439
1981;04;14271;-0.5389429540601802
1981;04;14415;-1.3067530889732597
1981;04;14444;-0.8502152445153927
1981;04;14458;-1.177489139953197
1981;04;9013;-0.8286780495102317
1981;04;9068;NA
1981;04;9101;-1.6724306600053012
1981;04;9119;-0.9120854283934946
1981;04;9167;NA
1981;04;9177;-0.2963909648190589
1981;04;9191;NA
1981;04;9192;-2.110856537535845
1981;04;9230;-0.9713275760004035
1981;04;9244;-1.3394050939003617
1981;04;9287;-1.1396830572475507
1981;04;9310;NA
1981;04;9317;-1.044473830094044
1981;04;9404;-1.4869736222089522
1981;04;9573;-1.8469500034126083
1981;04;9578;-1.2927510784487628
1981;04;2;-0.35581543311579633
1981;04;43;-1.5129206049587363
1981;04;47;-0.4903321290940958
1981;04;51;0.033488561073306916
1981;04;53;-0.8431905489299326
1981;04;7;-0.5651314642004759
1981;04;14233;-1.0511603718008942
1981;04;14437;-2.0676469492809146
1981;04;5884;-0.4676949214885535
1981;04;5937;NA
1981;04;7144;-0.1520918821816573
1981;04;6000;-0.8038059839973252
1981;04;6031;-0.1429999351494115
1981;04;9601;NA
1981;04;5598;NA
1981;04;5600;NA
1981;04;5602;NA
1981;04;5609;NA
1981;04;5612;NA
1981;04;5613;NA
1981;04;5617;NA
1981;04;5620;NA
1981;04;5621;NA
1981;04;5628;NA
1981;04;5629;NA
1981;04;5632;NA
1981;04;5634;NA
1981;04;5640;NA
1981;04;5646;NA
1981;04;5647;0.12647036166786352
1981;04;5649;1.5877418199340885
1981;04;5651;NA
1981;04;10;-1.8083718313699024
1981;04;210;NA
1981;04;221;-0.7008607798503382
1981;04;222;-0.809559173625369
1981;04;225;-0.24271196661628286
1981;04;227;-0.3762287667670153
1981;04;228;0.002738748465849861
1981;04;23;NA
1981;04;247;NA
1981;04;250;0.1782558014042466
1981;04;31;-1.2225281409672335
1981;04;349;-1.4302014722777794
1981;04;37;-0.6004293454888662
1981;04;39;NA
1981;04;4;-1.154594365364038
1981;04;408;-0.5177040781739367
1981;04;41;-0.6224817754256675
1981;04;5;-0.9114398417413316
1981;04;50;-0.5422201199691515
1981;04;61;NA
1981;04;8;-0.8357885773896172
1981;04;6510;0.19354155591186864
1981;04;6511;0.37674040811243475
1981;04;6512;-0.12924462898024514
1981;04;6516;0.6003124303207532
1981;04;6521;-0.011941454572156895
1981;04;6528;0.33038835235265546
1981;04;6529;0.8920855160177371
1981;04;6541;0.27150273194117747
1981;04;6543;0.7234495856505235
1981;04;6546;-0.6108567189173224
1981;04;6547;NA
1981;04;6561;0.006625446616425558
1981;04;6564;0.11923489554676146
1981;04;6569;-0.3707092966346454
1981;04;6570;-0.3971684701310696
1981;04;6576;-0.7926807214127424
1981;04;6591;0.6462751259871977
1981;04;6594;0.38985658049416916
1981;04;6598;-0.0244170617056263
1981;04;6601;-0.49584697612570394
1981;04;6602;-0.16105113498573043
1981;04;6615;0.6640593192410935
1981;04;6638;0.5618549002171954
1981;04;6639;0.6466017112256333
1981;04;6640;0.2452438954563153
1981;04;44;2.172225520855576
1981;04;5675;NA
1981;04;5677;-0.036692927828994575
1981;04;5678;NA
1981;04;5679;NA
1981;04;5680;NA
1981;04;5681;NA
1981;04;5682;NA
1981;04;5683;NA
1981;04;5687;NA
1981;04;5688;NA
1981;04;5689;NA
1981;04;5690;NA
1981;04;5691;NA
1981;04;5692;NA
1981;04;5693;NA
1981;04;5696;NA
1981;04;5697;NA
1981;04;5698;NA
1981;04;5699;NA
1981;04;5700;NA
1981;04;5703;NA
1981;04;5704;NA
1981;04;5705;-1.1051375121905327
1981;04;5707;NA
1981;04;5708;NA
1981;04;5709;NA
1981;04;5710;NA
1981;04;5711;NA
1981;04;5712;NA
1981;04;5713;NA
1981;04;5714;NA
1981;04;5715;NA
1981;04;5716;NA
1981;04;5717;NA
1981;04;5718;NA
1981;04;5720;0.07062726475483723
1981;04;5721;NA
1981;04;5722;NA
1981;04;5723;NA
1981;04;5725;NA
1981;04;5726;NA
1981;04;5727;NA
1981;04;5728;NA
1981;04;5729;NA
1981;04;5732;NA
1981;04;5733;NA
1981;04;5734;NA
1981;04;5735;NA
1981;04;5736;NA
1981;04;5737;NA
1981;04;5738;NA
1981;04;5739;NA
1981;04;5740;NA
1981;04;5741;NA
1981;04;5742;NA
1981;04;5743;NA
1981;04;5744;NA
1981;04;5745;NA
1981;04;5746;NA
1981;04;5747;NA
1981;04;5748;NA
1981;04;5752;NA
1981;04;5753;NA
1981;04;5754;NA
1981;04;5755;-0.4548336253898734
1981;04;5756;NA
1981;04;5758;NA
1981;04;5759;NA
1981;04;5760;NA
1981;04;5761;NA
1981;04;5763;NA
1981;04;5764;NA
1981;04;5766;NA
1981;04;5769;NA
1981;04;5770;NA
1981;04;5771;NA
1981;04;5772;NA
1981;04;5773;NA
1981;04;5774;NA
1981;04;5775;NA
1981;04;5776;NA
1981;04;5777;NA
1981;04;5779;NA
1981;04;5780;NA
1981;04;5781;NA
1981;04;5783;NA
1981;04;5784;NA
1981;04;5786;NA
1981;04;5797;NA
1981;04;5798;NA
1981;04;5799;NA
1981;04;5800;NA
1981;04;5801;NA
1981;05;6718;0.5542933097462703
1981;05;6720;-0.2925923238867598
1981;05;6721;-0.1939073083230723
1981;05;6723;-0.1669454685426668
1981;05;6729;0.03381883982056
1981;05;6730;0.5985799619019015
1981;05;6733;0.15797378485479602
1981;05;6736;0.9625571663516584
1981;05;6768;-0.9871962250218342
1981;05;6769;-1.6622107642143689
1981;05;6771;NA
1981;05;102;0.4447109801126915
1981;05;110;-0.2664758060743745
1981;05;135;NA
1981;05;149;0.9789212698175086
1981;05;150;1.0638093508210171
1981;05;166;NA
1981;05;172;1.0100426512912173
1981;05;176;0.7762315792420732
1981;05;18;1.9262546734242159
1981;05;197;1.8029352634206945
1981;05;203;1.281292068618839
1981;05;206;NA
1981;05;223;1.1380297388726515
1981;05;49;NA
1981;05;77;2.2805613859654956
1981;05;94;0.5091066293395329
1981;05;14158;-0.39449117623342855
1981;05;14246;1.0117399096622572
1981;05;14271;-0.12134314577026817
1981;05;14415;-1.1799597072458112
1981;05;14444;0.08793986643667495
1981;05;14458;-0.9943675726140093
1981;05;9013;-0.10043797434790243
1981;05;9068;NA
1981;05;9101;-1.1295849340304296
1981;05;9119;-1.252551197554033
1981;05;9167;NA
1981;05;9177;0.16952016328383415
1981;05;9191;NA
1981;05;9192;-0.7269985060664035
1981;05;9230;0.36196839330297786
1981;05;9244;-1.084116487738215
1981;05;9287;-0.3588938356197399
1981;05;9310;NA
1981;05;9317;-1.07031693481188
1981;05;9404;-1.0634896168765515
1981;05;9573;-0.8012570065077722
1981;05;9578;-1.3742444226182573
1981;05;2;1.055562131528859
1981;05;43;-0.39584438690948753
1981;05;47;0.8450028108836352
1981;05;51;1.054429412460818
1981;05;53;-0.2535052112394416
1981;05;7;-0.08619456753503124
1981;05;14233;0.3059184297183006
1981;05;14437;-0.8118032641339389
1981;05;5884;-0.2195613835411812
1981;05;5937;0.15279945571121253
1981;05;7144;0.16814541680058157
1981;05;6000;0.35637281635322193
1981;05;6031;0.10439946778324731
1981;05;9601;NA
1981;05;5598;NA
1981;05;5600;NA
1981;05;5602;NA
1981;05;5609;NA
1981;05;5612;NA
1981;05;5613;NA
1981;05;5617;NA
1981;05;5620;NA
1981;05;5621;NA
1981;05;5628;NA
1981;05;5629;NA
1981;05;5632;NA
